dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
GesturePhaseSegmentationProcessed,2.0,6.0,1.0,4.0,3.0,5.0
MiceProtein,1.0,4.0,2.0,5.0,3.0,6.0
PhishingWebsites,1.0,5.0,2.0,4.0,3.0,6.0
adult,6.0,2.0,4.0,1.0,5.0,3.0
analcatdata_authorship,1.0,2.0,3.0,5.0,4.0,6.0
analcatdata_dmft,4.0,1.0,6.0,3.0,5.0,2.0
balance-scale,4.5,1.5,4.5,1.5,6.0,3.0
bank-marketing,4.0,5.0,3.0,1.0,6.0,2.0
banknote-authentication,1.5,4.5,1.5,4.5,3.0,6.0
blood-transfusion-service-center,5.5,1.5,5.5,1.5,4.0,3.0
breast-w,2.0,1.0,4.0,3.0,6.0,5.0
car,4.0,6.0,2.0,5.0,1.0,3.0
churn,5.0,6.0,1.0,4.0,2.0,3.0
climate-model-simulation-crashes,5.0,6.0,4.0,3.0,1.0,2.0
cmc,6.0,3.0,4.0,1.0,5.0,2.0
cnae-9,1.0,4.0,2.0,5.0,3.0,6.0
credit-approval,3.5,1.0,2.0,3.5,5.5,5.5
credit-g,1.0,3.0,5.0,2.0,6.0,4.0
cylinder-bands,1.0,4.0,2.0,5.0,3.0,6.0
diabetes,4.0,2.0,5.0,1.0,6.0,3.0
dna,1.0,2.0,3.0,5.0,4.0,6.0
dresses-sales,5.0,1.0,4.0,3.0,6.0,2.0
electricity,4.0,6.0,2.0,5.0,1.0,3.0
eucalyptus,5.0,6.0,2.0,1.0,4.0,3.0
first-order-theorem-proving,2.0,6.0,1.0,5.0,3.0,4.0
ilpd,1.0,3.0,2.0,6.0,4.0,5.0
jm1,4.0,1.0,5.0,3.0,6.0,2.0
jungle_chess_2pcs_raw_endgame_complete,6.0,3.0,5.0,2.0,4.0,1.0
kc1,4.0,2.0,5.0,1.0,6.0,3.0
kc2,4.0,3.0,5.0,2.0,6.0,1.0
kr-vs-kp,3.0,6.0,1.0,4.0,2.0,5.0
letter,1.0,4.0,2.0,5.0,3.0,6.0
mfeat-factors,1.0,2.0,3.0,5.0,4.0,6.0
mfeat-fourier,1.0,2.0,3.0,4.0,5.0,6.0
mfeat-karhunen,1.0,2.0,3.0,4.0,5.0,6.0
mfeat-morphological,5.0,2.0,4.0,1.0,6.0,3.0
mfeat-pixel,1.0,2.0,3.0,5.0,4.0,6.0
mfeat-zernike,1.0,5.0,2.0,4.0,3.0,6.0
optdigits,1.0,3.0,2.0,4.0,5.0,6.0
ozone-level-8hr,2.0,6.0,4.0,3.0,1.0,5.0
pc1,2.0,4.0,3.0,1.0,6.0,5.0
pc3,1.0,2.0,3.0,4.0,5.0,6.0
pc4,4.0,6.0,1.0,3.0,2.0,5.0
pendigits,1.0,3.0,2.0,4.0,5.0,6.0
phoneme,1.5,4.5,1.5,4.5,3.0,6.0
qsar-biodeg,2.0,4.0,1.0,5.0,3.0,6.0
satimage,1.0,5.0,2.0,4.0,3.0,6.0
segment,1.0,5.0,2.0,4.0,3.0,6.0
semeion,1.0,2.0,3.0,5.0,4.0,6.0
sick,5.0,6.0,3.0,4.0,1.0,2.0
spambase,1.0,3.0,2.0,5.0,4.0,6.0
splice,1.0,2.0,3.0,4.0,5.0,6.0
steel-plates-fault,3.0,6.0,2.0,5.0,1.0,4.0
texture,1.0,4.0,2.0,5.0,3.0,6.0
tic-tac-toe,4.0,6.0,2.0,5.0,1.0,3.0
vehicle,1.0,4.0,2.0,5.0,3.0,6.0
vowel,1.0,4.0,2.0,5.0,3.0,6.0
wall-robot-navigation,5.0,6.0,1.0,2.0,3.0,4.0
wdbc,2.0,5.0,1.0,4.0,3.0,6.0
wilt,3.5,5.5,3.5,5.5,1.0,2.0
